Timestamp(ms),Current(uA),D0-D7
1191,116495.367,11111111
1192,116494.266,11111111
1193,116814.578,11111111
1194,117241.164,11111111
1195,116938.992,11111111
1196,116620.539,11111111
1197,117145.922,11111111
1198,117099.688,11111111
1199,117197.820,11111111
1200,117252.023,11111111
1201,117140.883,11111111
1202,117315.156,11111111
1203,116957.367,11111111
1204,116808.828,11111111
1205,116860.117,11111111
1206,120967.227,11111111
1207,118753.992,11111111
1208,118848.352,11111111
1209,117695.117,11111111
1210,117226.031,11111111
1211,117138.094,11111111
1212,116835.094,11111111
1213,116835.758,11111111
1214,116829.359,11111111
1215,117821.711,11111111
1216,117345.117,11111111
1217,120110.938,11111111
1218,118151.500,11111111
1219,117620.609,11111111
1220,116924.227,11111111
1221,116577.617,11111111
1222,116383.742,11111111
1223,116527.781,11111111
1224,116594.234,11111111
1225,116515.703,11111111
1226,118356.195,11111111
1227,119621.453,11111111
1228,117640.273,11111111
1229,117007.063,11111111
1230,116586.992,11111111
1231,116383.531,11111111
1232,116423.820,11111111
1233,116499.805,11111111
1234,116482.531,11111111
1235,116556.188,11111111
1236,116498.539,11111111
1237,116652.672,11111111
1238,116600.758,11111111
1239,119943.367,11111111
1240,124390.547,11111111
1241,129217.539,11111111
1242,130674.164,11111111
1243,125969.891,11111111
1244,121912.391,11111111
1245,125626.000,11111111
1246,127453.211,11111111
1247,125773.914,11111111
1248,123018.016,11111111
1249,123255.383,11111111
1250,123520.063,11111111
1251,123676.797,11111111
1252,123727.672,11111111
1253,123611.258,11111111
1254,123617.719,11111111
1255,123661.406,11111111
1256,123622.641,11111111
1257,127829.273,11111111
1258,126872.742,11111111
1259,124846.242,11111111
1260,124027.008,11111111
1261,123781.148,11111111
1262,127763.281,11111111
1263,123988.734,11111111
1264,123624.523,11111111
1265,123476.156,11111111
1266,123328.398,11111111
1267,123516.375,11111111
1268,123549.977,11111111
1269,123601.602,11111111
1270,138407.344,11111111
1271,168605.797,11111111
1272,153899.484,11111111
1273,135909.531,11111111
1274,128100.203,11111111
1275,125149.477,11111111
1276,124056.664,11111111
